Distance_m,Current_Mag,Current_Phase_deg,Field_Mag,Field_dB
27.507022,2.006035e-01,108.146,8.195860e+01,20.665
27.584289,2.003979e-01,62.505,8.108734e+01,20.569
27.661556,2.001927e-01,16.777,8.006778e+01,20.456
27.738823,1.999963e-01,-29.035,7.902153e+01,20.339
27.816090,1.997976e-01,-74.933,7.792743e+01,20.215
27.893357,1.996098e-01,-120.920,7.669374e+01,20.073
27.970624,1.994210e-01,-166.992,7.544947e+01,19.928
28.047891,1.992231e-01,146.847,7.425752e+01,19.787
28.125158,1.990295e-01,100.600,7.293709e+01,19.628
28.202425,1.988227e-01,54.271,7.151340e+01,19.454
28.279692,1.986178e-01,7.854,7.013380e+01,19.281
28.356959,1.984218e-01,-38.643,6.866583e+01,19.094
28.434225,1.982187e-01,-85.226,6.702570e+01,18.881
28.511492,1.980324e-01,-131.896,6.538725e+01,18.663
28.588759,1.978420e-01,-178.649,6.381102e+01,18.448
28.666026,1.976430e-01,134.509,6.213831e+01,18.214
28.743293,1.974550e-01,87.584,6.032312e+01,17.954
28.820560,1.972441e-01,40.577,5.854800e+01,17.691
28.897827,1.970419e-01,-6.517,5.682769e+01,17.429
28.975094,1.968468e-01,-53.688,5.494035e+01,17.133
29.052361,1.966345e-01,-100.946,5.289023e+01,16.799
29.129628,1.964561e-01,-148.289,5.089260e+01,16.462
29.206895,1.962585e-01,164.292,4.900105e+01,16.130
29.284162,1.960580e-01,116.776,4.704744e+01,15.773
29.361428,1.958858e-01,69.186,4.489256e+01,15.363
29.438695,1.956544e-01,21.513,4.267444e+01,14.920
29.515962,1.954722e-01,-26.254,4.058701e+01,14.481
29.593229,1.952767e-01,-74.078,3.857056e+01,14.035
29.670496,1.950236e-01,-122.011,3.644048e+01,13.538
29.747763,1.949294e-01,-170.013,3.409054e+01,12.956
29.825030,1.946111e-01,141.935,3.162940e+01,12.302
29.902297,1.944753e-01,93.654,2.928826e+01,11.631
29.979564,1.943454e-01,45.890,2.713860e+01,10.966
30.056831,1.963822e-01,-1.195,2.676092e+01,10.841
30.134098,1.970967e-01,-48.245,2.691570e+01,10.888
30.211365,1.966619e-01,-95.274,2.685608e+01,10.866
30.288631,1.960939e-01,-142.250,2.659826e+01,10.779
30.365898,1.956615e-01,170.766,2.623523e+01,10.657
30.443165,1.954191e-01,123.719,2.590684e+01,10.544
30.520432,1.953137e-01,76.570,2.575816e+01,10.491
30.597699,1.952526e-01,29.307,2.582257e+01,10.510
30.674966,1.951554e-01,-18.064,2.608901e+01,10.596
30.752233,1.949861e-01,-65.528,2.648422e+01,10.723
30.829500,1.947510e-01,-113.067,2.689014e+01,10.852
30.906767,1.944864e-01,-160.673,2.724161e+01,10.962
30.984034,1.942345e-01,151.655,2.746341e+01,11.029
31.061301,1.940204e-01,103.909,2.751956e+01,11.044
31.138568,1.938481e-01,56.080,2.741670e+01,11.008
31.215834,1.936992e-01,8.162,2.712865e+01,10.914
31.293101,1.935474e-01,-39.848,2.666696e+01,10.761
31.370368,1.933736e-01,-87.944,2.602916e+01,10.548
31.447635,1.931702e-01,-136.121,2.518987e+01,10.260
31.524902,1.929467e-01,175.626,2.417066e+01,9.898
31.602169,1.927208e-01,127.301,2.296300e+01,9.450
31.679436,1.925076e-01,78.902,2.157759e+01,8.906
31.756703,1.923164e-01,30.424,2.005158e+01,8.266
31.833970,1.921427e-01,-18.137,1.837692e+01,7.506
31.911237,1.919750e-01,-66.783,1.657837e+01,6.608
31.988504,1.918008e-01,-115.513,1.466033e+01,5.537
32.065771,1.916102e-01,-164.324,1.260196e+01,4.220
32.143037,1.914043e-01,146.787,1.042978e+01,2.573
32.220304,1.911902e-01,97.823,8.140777e+00,0.418
32.297571,1.909779e-01,48.785,5.780313e+00,-2.560
32.374838,1.907777e-01,-0.330,3.504330e+00,-6.910
32.452105,1.905903e-01,-49.522,2.029334e+00,-11.658
32.529372,1.904127e-01,-98.796,3.157926e+00,-7.820
32.606639,1.902367e-01,-148.151,5.465307e+00,-3.059
32.683906,1.900529e-01,162.412,7.986405e+00,0.233
32.761173,1.898587e-01,112.897,1.052335e+01,2.626
32.838440,1.896540e-01,63.306,1.303677e+01,4.483
32.915707,1.894452e-01,13.641,1.550705e+01,5.987
32.992974,1.892406e-01,-36.099,1.789081e+01,7.226
33.070240,1.890437e-01,-85.915,2.019887e+01,8.276
33.147507,1.888573e-01,-135.808,2.240781e+01,9.175
33.224774,1.886767e-01,174.221,2.451598e+01,9.953
33.302041,1.884955e-01,124.169,2.656597e+01,10.647
33.379308,1.883094e-01,74.039,2.856252e+01,11.273
33.456575,1.881137e-01,23.833,3.056182e+01,11.858
33.533842,1.879115e-01,-26.449,3.260829e+01,12.418
33.611109,1.877069e-01,-76.804,3.469974e+01,12.954
33.688376,1.875044e-01,-127.233,3.686983e+01,13.478
33.765643,1.873101e-01,-177.736,3.908502e+01,13.982
33.842910,1.871223e-01,131.684,4.130145e+01,14.458
33.920177,1.869394e-01,81.028,4.350970e+01,14.907
33.997443,1.867571e-01,30.294,4.564006e+01,15.319
34.074710,1.865689e-01,-20.517,4.768343e+01,15.696
34.151977,1.863753e-01,-71.404,4.964305e+01,16.043
34.229244,1.861751e-01,-122.363,5.148687e+01,16.356
34.306511,1.859724e-01,-173.396,5.326650e+01,16.648
34.383778,1.857729e-01,135.499,5.498373e+01,16.921
34.461045,1.855772e-01,84.320,5.664009e+01,17.175
